state,electors,year
Alabama,9,2020
Alaska,3,2020
Arizona,11,2020
Arkansas,6,2020
California,55,2020
Colorado,9,2020
Connecticut,7,2020
Delaware,3,2020
D.C.,3,2020
Florida,29,2020
Georgia,16,2020
Hawaii,4,2020
Idaho,4,2020
Illinois,20,2020
Indiana,11,2020
Iowa,6,2020
Kansas,6,2020
Kentucky,8,2020
Louisiana,8,2020
Maine,4,2020
Maryland,10,2020
Massachusetts,11,2020
Michigan,16,2020
Minnesota,10,2020
Mississippi,6,2020
Missouri,10,2020
Montana,3,2020
Nebraska,5,2020
Nevada,6,2020
New Hampshire,4,2020
New Jersey,14,2020
New Mexico,5,2020
New York,29,2020
North Carolina,15,2020
North Dakota,3,2020
Ohio,18,2020
Oklahoma,7,2020
Oregon,7,2020
Pennsylvania,20,2020
Rhode Island,4,2020
South Carolina,9,2020
South Dakota,3,2020
Tennessee,11,2020
Texas,38,2020
Utah,6,2020
Vermont,3,2020
Virginia,13,2020
Washington,12,2020
West Virginia,5,2020
Wisconsin,10,2020
Wyoming,3,2020
